 2017-05-08 14:42:32,764 [P18036/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.13 application starting on ESITOZ68
 2017-05-08 14:42:32,788 [P18036/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-05-08 14:42:32,804 [P18036/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 16ms)
 2017-05-08 14:42:32,863 [P18036/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-05-08 14:42:32,864 [P18036/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-05-08 14:42:32,870 [P18036/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-05-08 14:42:33,541 [P18036/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 671ms)
 2017-05-08 14:42:33,559 [P18036/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-05-08 14:42:33,566 [P18036/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 7ms)
 2017-05-08 14:42:33,567 [P18036/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-05-08 14:42:33,575 [P18036/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 8ms)
 2017-05-08 14:42:33,595 [P18036/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-05-08 14:42:33,601 [P18036/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 6ms)
 2017-05-08 14:42:33,602 [P18036/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
